Database of Origin,Western Washington University
Sample Description,"Calcium and Magnesium Sulfate Mixtures, laboratory resolution"
Date Added,2017-11-11 06:15:58.898620

Data ID,WWU_Sulf_15         
Sample ID,Ca_Sulf_15
Mineral Name,60% Anhydrite-40% Gypsum
Locality,Synthetic
Grain Size,500 - 1000 um
Viewing Geometry,35 degrees
Resolution,3nm/30nm
Composition,Synthetic calcium sulfate

Wavelength
1235.0,0.01043051355
1236.0,0.01043275635
1237.0,0.01043518342
1238.0,0.01043732832
1239.0,0.01043901328
1240.0,0.01044098127
1241.0,0.01044316647
1242.0,0.01044509169
1243.0,0.01044684248
1244.0,0.0104486739
1245.0,0.0104505588
1246.0,0.01045222402
1247.0,0.01045377406
1248.0,0.01045534631
1249.0,0.01045684371
1250.0,0.01045804655
1251.0,0.01045962046
1252.0,0.01046146586
1253.0,0.01046301426
1254.0,0.01046471898
1255.0,0.01046597694
1256.0,0.01046676595
1257.0,0.0104678495
1258.0,0.01046884419
1259.0,0.01046984218
1260.0,0.01047120711
1261.0,0.01047208825
1262.0,0.01047266911
1263.0,0.01047315617
1264.0,0.01047312821
1265.0,0.01047340712
1266.0,0.01047376089
1267.0,0.01047424383
1268.0,0.01047445198
1269.0,0.01047469963
1270.0,0.01047487652
1271.0,0.01047469059
1272.0,0.01047484938
1273.0,0.01047535124
1274.0,0.01047555775
1275.0,0.01047567047
1276.0,0.01047582432
1277.0,0.01047586134
1278.0,0.01047594855
1279.0,0.01047616987
1280.0,0.010476276
1281.0,0.01047632784
1282.0,0.01047634923
1283.0,0.01047623076
1284.0,0.0104759971
1285.0,0.01047578483
1286.0,0.01047551579
1287.0,0.01047515543
1288.0,0.01047496208
1289.0,0.01047426358
1290.0,0.01047307143
1291.0,0.01047217382
1292.0,0.01047133873
1293.0,0.01047011615
1294.0,0.01046919715
1295.0,0.01046756319
1296.0,0.0104652085
1297.0,0.01046274439
1298.0,0.01045979981
1299.0,0.01045685852
1300.0,0.01045378969
1301.0,0.01045066493
1302.0,0.01044709177
1303.0,0.0104436231
1304.0,0.01043914657
1305.0,0.01043382427
1306.0,0.01042862701
1307.0,0.01042300688
1308.0,0.01041713333
1309.0,0.01041156173
1310.0,0.01040492305
1311.0,0.01039748054
1312.0,0.01038975912
1313.0,0.0103811615
1314.0,0.01037268233
1315.0,0.01036455531
1316.0,0.01035541878
1317.0,0.01034574582
1318.0,0.01033569852
1319.0,0.01032525713
1320.0,0.01031387617
1321.0,0.01030280866
1322.0,0.01029177489
1323.0,0.01028042602
1324.0,0.0102688188
1325.0,0.0102570783
1326.0,0.01024538799
1327.0,0.01023314808
1328.0,0.0102201924
1329.0,0.01020773282
1330.0,0.01019491453
1331.0,0.01018257507
1332.0,0.010170749
1333.0,0.01015894515
1334.0,0.01014708865
1335.0,0.0101356501
1336.0,0.01012449127
1337.0,0.01011355047
1338.0,0.01010292643
1339.0,0.01009266274
1340.0,0.0100825883
1341.0,0.01007257638
1342.0,0.01006320537
1343.0,0.0100543461
1344.0,0.01004556664
1345.0,0.01003705704
1346.0,0.01002898842
1347.0,0.01002135258
1348.0,0.01001364103
1349.0,0.01000628491
1350.0,0.999900695
1351.0,0.99917907
1352.0,0.998451357
1353.0,0.997766672
1354.0,0.997045047
1355.0,0.996303264
1356.0,0.99554223
1357.0,0.994751166
1358.0,0.993950804
1359.0,0.993096223
1360.0,0.992220746
1361.0,0.991273525
1362.0,0.990300141
1363.0,0.989230168
1364.0,0.988102685
1365.0,0.986887662
1366.0,0.985588144
1367.0,0.984229966
1368.0,0.982828757
1369.0,0.981313269
1370.0,0.979706951
1371.0,0.97804008
1372.0,0.976272588
1373.0,0.974455238
1374.0,0.972603743
1375.0,0.970667754
1376.0,0.968660185
1377.0,0.966572647
1378.0,0.964447345
1379.0,0.962249559
1380.0,0.960029065
1381.0,0.957778707
1382.0,0.955460472
1383.0,0.953076995
1384.0,0.950683562
1385.0,0.948266351
1386.0,0.945773366
1387.0,0.943235461
1388.0,0.940665549
1389.0,0.938026199
1390.0,0.935360851
1391.0,0.932694102
1392.0,0.929957587
1393.0,0.927165208
1394.0,0.924321653
1395.0,0.921394179
1396.0,0.918473945
1397.0,0.915530099
